계정과목,상세내용
기초잔액,
영업활동,
매출수금,라이선시 Desire 26년 계약 연장 긍정 협의중. 26년 MGR 반영 RF03대비 +$564K증가
로열티수금,
비용지출,
인건비,
물품대 지출,
운임,
비영리사업비,
기타지출,
재무활동,
본사차입(SPA),"JVA Movin에 STE 지분 취득 SPA위한 25년말 본사 차입 $18,000K"
본사차입상환(SPA),"SPA후 STE의 감자 배당으로 STO → F&F(OC)에 본사 차입금 및 미수이자 상환 $18,168K"
본사차입(운영자금),"STO 운영위한 본사 차입금 $10,943K"
본사차입상환(운영자금),"STE 주주환원 및 STO 잉여 Cash 재원으로 26년 연말 본사 차입금 $7,000K 추가상환 목표"
STE주주환원,"26년 연말 STE의 STO에 대한 주주환원 $4,500K 예상"
STE지분매입,
STE감자/배당,
Net Cash,
기말잔액,"차입금 상환 후, STO 기말잔액 RF_03 대비 $721K증가 (Desire 재계약 영향 +$564K)"
