"Shipping","Jan-25A","Feb-25A","Mar-25A","Apr-25A","May-25A","Jun-25A","Jul-25A","Aug-25A","Sep-25A","Oct-25A","Nov-25A","Dec-25A","Jan-26A","Feb-26A","Mar-26A","Apr-26A","May-26A","Jun-26A"
"Beginning # of Units","132,003","185,667","308,208","313,387","319,348","295,410","270,520","312,040","350,691","368,758","336,496","273,748","208,391","193,616","273,963","308,734","300,693","271,092"
"Inventory Receipts (+)","53,664","122,541","5,179","5,961","(23,938)","(24,890)","41,520","38,651","18,067","(32,262)","(62,748)","(65,357)","--","--","--","--","--","--"
"Sales (-)","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","3,972","2,695","1,510"
"Ending # of Units","185,667","308,208","313,387","319,348","295,410","270,520","312,040","350,691","368,758","336,496","273,748","208,391","193,616","273,963","308,734","300,693","271,092","240,954"
"Bergen Costs","","","","","","","","","","","","","","","","","",""
"Ecom US","$53,336","$51,145","$69,704","$75,343","$75,448","$82,005","$89,280","$86,640","$87,880","$99,566","$120,195","$216,842","$104,033","$81,313","$3,894","$92,154","$105,084","$113,681"
"Ecom EU","$4,182","$3,777","$4,549","$5,466","$4,441","$4,797","$5,560","$3,801","$2,606","$6,722","$4,274","$4,478","$4,004","$3,101","$28,234","$2,621","$1,835","$2,765"
"Wholesale","$4,682","$10,871","$16,900","$13,093","$10,408","$9,770","$9,093","$11,337","$10,884","$13,124","$6,069","$6,227","$6,697","$6,089","$3,953","$6,379","$10,868","$4,097"
"Total Bergen Costs","$62,200","$65,794","$91,153","$93,903","$90,297","$96,573","$103,932","$101,779","$101,370","$119,412","$130,538","$227,547","$114,734","$90,503","$36,080","$101,154","$117,788","$120,543"
"Other Processing Costs","$6,339","$3,902","$7,770","$5,541","$7,301","($8,054)","$7,215","$10,273","$1,998","$2,672","$2,957","$13,846","$2,746","$5,158","$1,176","$1,671","$1,712","$6,420"
"Total Order Processing Costs","$68,539","$69,696","$98,923","$99,444","$97,598","$88,518","$111,147","$112,051","$103,368","$122,084","$133,495","$241,392","$117,480","$95,660","$37,256","$102,825","$119,500","$126,963"
"Avg. SQ FT","46,295","59,598","68,407","71,723","72,525","73,101","76,417","79,971","82,476","82,814","82,533","78,301","73,028","84,085","78,490","78,439","76,547","73,883"
"SQ FT per Unit","0.2493","0.1934","0.2183","0.2246","0.2455","0.2702","0.2449","0.2280","0.2237","0.2461","0.3015","0.3757","0.3772","0.3069","0.2542","0.2609","0.2824","0.3066"
"$ per SQ FT","$0.49","$0.44","$0.48","$0.47","$0.48","$0.47","$0.54","$0.53","$0.51","$0.55","$0.54","$0.56","$0.61","$0.59","$0.70","$0.69","$0.69","$0.70"
"Total Shipped","7,717","7,069","9,219","10,155","10,420","12,353","11,183","11,047","10,963","13,524","10,461","31,889","18,322","6,831","6,787","7,884","11,251","11,686"
"$ per Shipped","$4.16","$4.90","$5.18","$4.96","$4.76","$4.41","$5.00","$4.52","$4.85","$4.70","$6.99","$5.40","$3.44","$5.09","$5.22","$5.26","$4.94","$5.12"
"Storage","$22,574","$26,209","$33,170","$33,601","$35,133","$34,335","$41,068","$42,161","$42,429","$45,329","$44,246","$43,897","$44,185","$49,610","$54,688","$53,830","$53,118","$51,691"
"Outbound Shipping","$32,097","$34,640","$47,763","$50,386","$49,590","$54,460","$55,941","$49,921","$53,167","$63,560","$73,115","$172,332","$62,961","$34,780","$35,407","$41,444","$55,536","$59,783"
"Value Added Service","$2,609","$431","$1,835","$1,709","$789","$774","$1,612","$2,579","$1,174","$601","$6,671","$923","$1,729","$1,753","$4,203","$705","$784","$1,508"
"Other","$4,920","$4,514","$7,786","$8,806","$6,979","$7,574","$5,405","$7,117","$4,600","$9,923","$6,505","$10,395","$5,860","$4,360","$6,973","$7,217","$8,360","$7,566"
"TOTAL","$62,200","$65,794","$90,554","$94,502","$92,490","$97,143","$104,026","$101,779","$101,370","$119,412","$130,538","$227,547","$114,734","$90,503","$101,271","$103,195","$117,799","$120,547"
